turno,jugador,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_carcel,dinero_final,props_antes,props_despues
370,javier,amarillo3,propiedad,no,si,no,no,no,no,343,343,287,0,0
371,ana,azul1,propiedad,no,no,no,no,no,no,334,334,334,2,2
372,bob,parking,parking,no,no,no,si,no,no,1656,1656,2383,4,4
373,carla,naranja1,propiedad,no,si,no,no,no,no,630,630,594,4,4
374,diego,verde1,propiedad,no,si,no,no,no,no,409,409,349,4,4
375,elena,impuesto3,impuesto,no,no,si,no,no,no,1898,1898,1798,5,5
376,fernando,impuesto2,impuesto,no,no,si,no,si,si,92,92,92,0,0
377,irene,rojo3,propiedad,no,si,no,no,no,no,1142,1142,1094,2,2
378,javier,azul1,propiedad,no,si,no,no,no,no,287,287,217,0,0
379,ana,salida,salida,no,no,no,no,no,no,404,404,404,2,2
380,bob,amarillo2,propiedad,no,si,no,no,no,no,2383,2383,2331,4,4
381,carla,rojo1,propiedad,no,si,no,no,no,no,642,642,598,4,4
382,diego,suerte1,suerte,no,no,no,no,no,no,349,349,349,4,4
383,elena,verde3,propiedad,no,si,no,no,no,no,1850,1850,1786,5,5
384,gema,estacion1,estacion,no,si,no,no,no,no,1280,1280,1240,2,2
385,hugo,visita_carcel,visita_carcel,no,no,no,no,no,no,624,624,624,2,2
386,irene,verde1,propiedad,no,si,no,no,no,no,1094,1094,1034,2,2
387,javier,morado2,propiedad,no,si,no,no,no,no,217,217,205,0,0
388,ana,suerte1,suerte,no,no,no,no,no,no,404,404,404,2,2
389,bob,suerte6,suerte,no,no,no,no,no,no,2375,2375,2375,4,4
390,carla,impuesto3,impuesto,no,no,si,no,no,no,662,662,562,4,4
391,diego,visita_carcel,visita_carcel,no,no,no,no,no,no,401,401,401,4,4
392,elena,suerte1,suerte,no,no,no,no,no,no,1846,1846,1846,5,5
393,gema,gris3,propiedad,no,si,no,no,no,no,1240,1240,1216,2,2
394,hugo,visita_carcel,visita_carcel,no,no,no,no,no,no,624,624,624,2,2
395,irene,impuesto4,impuesto,no,no,si,no,no,no,1058,1058,958,2,2
396,javier,visita_carcel,visita_carcel,no,no,no,no,no,no,205,205,205,0,0
397,ana,suerte2,suerte,no,no,no,no,no,no,404,404,404,2,2
398,bob,impuesto1,impuesto,no,no,si,no,no,no,2375,2375,2175,4,4
399,carla,estacion4,estacion,no,si,no,no,no,no,562,562,522,4,4
400,diego,naranja2,propiedad,no,si,no,no,no,no,401,401,365,4,4
401,elena,suerte2,suerte,no,no,no,no,no,no,1886,1886,1886,5,5
402,gema,naranja1,propiedad,no,si,no,no,no,no,1216,1216,1180,2,2
403,hugo,visita_carcel,visita_carcel,no,no,no,no,no,no,660,660,660,2,2
404,irene,gris2,propiedad,no,si,no,no,no,no,958,958,938,2,2
405,javier,rosa3,propiedad,no,si,no,no,no,no,205,205,173,0,0
406,ana,estacion2,estacion,si,no,no,no,no,no,404,404,204,2,3
407,bob,gris3,propiedad,no,si,no,no,no,no,2175,2175,2151,4,4
408,carla,salida,salida,no,no,no,no,no,no,578,578,578,4,4
409,diego,rojo3,propiedad,no,si,no,no,no,no,365,365,317,4,4
410,elena,rosa2,propiedad,no,no,no,no,no,no,1886,1886,1886,5,5
411,gema,amarillo2,propiedad,no,si,no,no,no,no,1212,1212,1160,2,2
412,hugo,visita_carcel,visita_carcel,no,no,no,no,no,no,660,660,660,2,2
413,irene,naranja1,propiedad,no,si,no,no,no,no,962,962,926,2,2
414,javier,suerte3,suerte,no,no,no,no,no,no,173,173,173,0,0
415,ana,amarillo2,propiedad,no,si,no,no,no,no,204,204,152,3,3
416,bob,naranja2,propiedad,no,si,no,no,no,no,2151,2151,2115,4,4
417,carla,suerte1,suerte,no,no,no,no,no,no,662,662,662,4,4
418,diego,verde3,propiedad,no,si,no,no,no,no,317,317,253,4,4
419,elena,suerte4,suerte,no,no,no,no,no,no,1990,1990,1990,5,5
420,gema,suerte6,suerte,no,no,no,no,no,no,1160,1160,1160,2,2
421,hugo,rojo1,propiedad,no,si,no,no,no,no,696,696,652,2,2
422,irene,rojo3,propiedad,no,si,no,no,no,no,926,926,878,2,2
423,javier,rojo3,propiedad,no,si,no,no,no,no,173,173,125,0,0
424,ana,estacion4,estacion,no,si,no,no,no,no,152,152,112,3,3
425,bob,amarillo2,propiedad,no,si,no,no,no,no,2159,2159,2107,4,4
426,carla,gris1,propiedad,no,si,no,no,no,no,822,822,802,4,4
427,diego,gris1,propiedad,no,si,no,no,no,no,253,253,233,4,4
428,elena,visita_carcel,visita_carcel,no,no,no,no,no,no,2082,2082,2082,5,5
429,gema,morado2,propiedad,no,si,no,no,no,no,1160,1160,1148,2,2
430,hugo,amarillo2,propiedad,no,si,no,no,no,no,652,652,600,2,2
431,irene,suerte5,suerte,no,no,no,no,no,no,918,918,918,2,2
432,javier,amarillo3,propiedad,no,si,no,no,no,no,125,125,69,0,0
433,ana,morado1,propiedad,no,si,no,no,no,no,112,112,100,3,3
434,bob,suerte5,suerte,no,no,no,no,no,no,2163,2163,2163,4,4
435,carla,suerte3,suerte,no,no,no,no,no,no,802,802,802,4,4
436,diego,estacion2,estacion,no,si,no,no,no,no,257,257,217,4,4
437,elena,visita_carcel,visita_carcel,no,no,no,no,no,no,2134,2134,2134,5,5
438,gema,rosa1,propiedad,no,no,no,no,no,no,1148,1148,1148,2,2
439,hugo,verde3,propiedad,no,si,no,no,no,no,600,600,536,2,2
440,irene,impuesto4,impuesto,no,no,si,no,no,no,918,918,818,2,2
441,javier,suerte6,suerte,no,no,no,no,no,no,69,69,69,0,0
442,ana,gris3,propiedad,no,si,no,no,no,no,140,140,116,3,3
443,bob,azul2,propiedad,no,si,no,no,no,no,2163,2163,2083,4,4
444,carla,rojo1,propiedad,no,si,no,no,no,no,866,866,822,4,4
445,diego,amarillo2,propiedad,no,si,no,no,no,no,217,217,165,4,4
446,elena,visita_carcel,visita_carcel,no,no,no,no,no,no,2266,2266,2266,5,5
447,gema,naranja1,propiedad,no,si,no,no,no,no,1148,1148,1112,2,2
448,hugo,impuesto4,impuesto,no,no,si,no,no,no,572,572,472,2,2
449,irene,impuesto1,impuesto,no,no,si,no,no,no,842,842,642,2,2
450,javier,gris1,propiedad,no,si,no,no,no,no,69,69,49,0,0
451,ana,rosa2,propiedad,no,si,no,no,no,no,116,116,88,3,3
452,bob,gris2,propiedad,no,si,no,no,no,no,2127,2127,2107,4,4
453,carla,verde2,propiedad,no,si,no,no,no,no,842,842,782,4,4
454,diego,suerte5,suerte,no,no,no,no,no,no,165,165,165,4,4
455,elena,visita_carcel,visita_carcel,no,no,no,no,no,no,2294,2294,2294,5,5
456,gema,rojo2,propiedad,no,si,no,no,no,no,1112,1112,1068,2,2
457,hugo,salida,salida,no,no,no,no,no,no,472,472,472,2,2
458,irene,rosa2,propiedad,no,si,no,no,no,no,662,662,634,2,2
459,javier,rosa2,propiedad,no,si,no,no,no,no,49,49,21,0,0
460,ana,rojo1,propiedad,no,si,no,no,no,no,88,88,44,3,3
461,bob,rosa3,propiedad,no,si,no,no,no,no,2255,2255,2223,4,4
462,carla,suerte1,suerte,no,no,no,no,no,no,782,782,782,4,4
463,diego,morado1,propiedad,no,no,no,no,no,no,165,165,165,4,4
464,elena,rosa3,propiedad,no,si,no,no,no,no,2350,2350,2318,5,5
465,gema,amarillo3,propiedad,no,si,no,no,no,no,1132,1132,1076,2,2
466,hugo,suerte2,suerte,no,no,no,no,no,no,472,472,472,2,2
467,irene,suerte4,suerte,no,no,no,no,no,no,634,634,634,2,2
468,javier,naranja3,propiedad,no,si,no,no,si,si,21,21,21,0,0
469,elena,parking,parking,no,no,no,si,no,no,2318,2318,3206,5,5
470,gema,salida,salida,no,no,no,no,no,no,1076,1076,1076,2,2
471,hugo,rosa1,propiedad,no,si,no,no,no,no,472,472,444,2,2
472,irene,impuesto3,impuesto,no,no,si,no,no,no,634,634,534,2,2
473,ana,amarillo1,propiedad,no,si,no,no,si,no,44,44,367,3,0
474,bob,suerte3,suerte,no,no,no,no,no,no,2279,2279,2279,4,4
475,carla,impuesto2,impuesto,no,no,si,no,no,no,782,782,632,4,4
476,diego,gris2,propiedad,no,si,no,no,no,no,205,205,185,4,4
477,elena,amarillo2,propiedad,no,no,no,no,no,no,3206,3206,3206,5,5
478,gema,suerte2,suerte,no,no,no,no,no,no,1104,1104,1104,2,2
479,hugo,rosa3,propiedad,no,si,no,no,no,no,496,496,464,2,2
480,irene,verde3,propiedad,no,si,no,no,no,no,534,534,470,2,2
481,ana,estacion4,estacion,no,si,no,no,no,no,367,367,327,0,0
