turno,jugador,dinero_final_turno
342,bob,8574
346,bob,8574
350,bob,8534
354,bob,8534
358,bob,8534
362,bob,8494
366,bob,8494
370,bob,8494
374,bob,8494
378,bob,8414
382,bob,8414
386,bob,8386
390,bob,8378
394,bob,8318
398,bob,8238
3,carla,10000
7,carla,9880
11,carla,9880
15,carla,9836
19,carla,9780
23,carla,9580
27,carla,9608
31,carla,9608
35,carla,9608
39,carla,9564
43,carla,9564
47,carla,9164
51,carla,9104
55,carla,9104
59,carla,9052
63,carla,9052
67,carla,9032
71,carla,8832
75,carla,8572
79,carla,8272
83,carla,8202
87,carla,8142
91,carla,8122
95,carla,8118
99,carla,7938
103,carla,7990
107,carla,7926
111,carla,7926
115,carla,7926
119,carla,7894
123,carla,7922
127,carla,7958
131,carla,7934
135,carla,7994
139,carla,7998
143,carla,8038
147,carla,8162
151,carla,8162
155,carla,8162
159,carla,8174
163,carla,8198
167,carla,8198
171,carla,8238
175,carla,8198
179,carla,8198
183,carla,8190
187,carla,8190
191,carla,8242
195,carla,8202
199,carla,8202
203,carla,8144
207,carla,8104
211,carla,8172
215,carla,8172
219,carla,8176
223,carla,8176
227,carla,8176
231,carla,8284
235,carla,8340
239,carla,8284
243,carla,8328
247,carla,8408
251,carla,8408
255,carla,8448
259,carla,8428
263,carla,8468
267,carla,8596
271,carla,8588
275,carla,8548
279,carla,8504
283,carla,8504
287,carla,8556
291,carla,8640
295,carla,8720
299,carla,8684
303,carla,8684
307,carla,8624
311,carla,8624
315,carla,8664
319,carla,8704
323,carla,8676
327,carla,8704
331,carla,8744
335,carla,8674
339,carla,8702
343,carla,8742
347,carla,8778
351,carla,8818
355,carla,8862
359,carla,8902
363,carla,8922
367,carla,8966
371,carla,8946
375,carla,8950
379,carla,9082
383,carla,9142
387,carla,9194
391,carla,9162
395,carla,9222
399,carla,9250
4,diego,9900
8,diego,9740
12,diego,9740
16,diego,9500
20,diego,9500
24,diego,9460
28,diego,9448
32,diego,9480
36,diego,9444
40,diego,9444
44,diego,9444
48,diego,9364
52,diego,9364
56,diego,9364
60,diego,9212
64,diego,9212
68,diego,9232
72,diego,9232
76,diego,9252
80,diego,9216
84,diego,9304
88,diego,9248
92,diego,9248
96,diego,9248
100,diego,9248
104,diego,9248
108,diego,9248
112,diego,9196
116,diego,9196
120,diego,9228
124,diego,9188
128,diego,9188
132,diego,8988
136,diego,8944
140,diego,8964
144,diego,8884
148,diego,8924
152,diego,8924
156,diego,8924
160,diego,8880
164,diego,8876
168,diego,8876
172,diego,8864
176,diego,8864
180,diego,8864
184,diego,8864
188,diego,8812
192,diego,8796
196,diego,8836
200,diego,8796
204,diego,8796
208,diego,8816
212,diego,8816
216,diego,8816
220,diego,8856
224,diego,8856
228,diego,8848
232,diego,8848
236,diego,8792
240,diego,8722
244,diego,8682
248,diego,8682
252,diego,8642
256,diego,8642
260,diego,8642
264,diego,8582
268,diego,8610
272,diego,8630
276,diego,8666
280,diego,8714
284,diego,8662
288,diego,8602
292,diego,8522
296,diego,8482
300,diego,8482
304,diego,8482
308,diego,8482
312,diego,8478
316,diego,8438
320,diego,8430
324,diego,8450
328,diego,8450
332,diego,8450
336,diego,8438
340,diego,8438
344,diego,8426
348,diego,8426
352,diego,8430
356,diego,8390
360,diego,8390
364,diego,8390
368,diego,8390
372,diego,8426
376,diego,8426
380,diego,8426
384,diego,8386
388,diego,8334
392,diego,8350
396,diego,8350
400,diego,8390
