turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_final_turno,propiedades_antes,propiedades_despues
66,2,bob,6,2,8,29,37,no,suerte6,suerte,0,ninguno,no,no,0,0,9056,9056,5,5
67,3,carla,3,6,9,26,35,no,verde3,propiedad,320,verde,no,no,0,0,8892,8892,5,5
68,4,diego,3,1,4,29,33,no,verde2,propiedad,300,verde,si,no,0,0,9528,9228,3,4
69,1,ana,6,6,12,4,16,no,estacion2,estacion,200,estacion,no,no,0,0,8444,8444,8,8
70,2,bob,6,2,8,37,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,9056,9056,5,5
71,3,carla,4,3,7,35,2,si,morado1,propiedad,60,morado,no,si,12,12,8892,8880,5,5
72,4,diego,3,3,6,33,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,9240,9240,4,4
73,1,ana,5,4,9,16,25,no,rojo3,propiedad,240,rojo,no,si,48,48,8444,8396,8,8
74,2,bob,1,4,5,5,10,no,gris3,propiedad,120,gris,no,si,24,24,9056,9032,5,5
75,3,carla,3,3,6,2,8,no,suerte2,suerte,0,ninguno,no,no,0,0,8928,8928,5,5
76,4,diego,3,3,6,39,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,9264,9264,4,4
77,1,ana,6,5,11,25,36,no,estacion4,estacion,200,estacion,no,si,40,40,8396,8356,8,8
78,2,bob,6,3,9,10,19,no,naranja2,propiedad,180,naranja,no,si,36,36,9072,9036,5,5
79,3,carla,4,2,6,8,14,no,rosa2,propiedad,140,rosa,si,no,0,0,8928,8788,5,6
80,4,diego,5,3,8,5,13,no,impuesto2,impuesto,150,ninguno,no,no,0,0,9300,9300,4,4
81,1,ana,6,1,7,36,3,si,suerte1,suerte,0,ninguno,no,no,0,0,8356,8356,8,8
82,2,bob,1,4,5,19,24,no,rojo2,propiedad,220,rojo,si,no,0,0,9036,8816,5,6
83,3,carla,3,4,7,14,21,no,parking,parking,0,ninguno,no,no,0,0,8788,8788,6,6
84,4,diego,2,6,8,13,21,no,parking,parking,0,ninguno,no,no,0,0,9300,9300,4,4
85,1,ana,5,1,6,3,9,no,gris2,propiedad,100,gris,no,no,0,0,8356,8356,8,8
86,2,bob,2,2,4,24,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,8816,8764,6,6
87,3,carla,6,6,12,21,33,no,verde2,propiedad,300,verde,no,si,60,60,8788,8728,6,6
88,4,diego,2,6,8,21,29,no,impuesto3,impuesto,100,ninguno,no,no,0,0,9360,9360,4,4
89,1,ana,3,2,5,9,14,no,rosa2,propiedad,140,rosa,no,si,28,28,8408,8380,8,8
90,2,bob,1,3,4,28,32,no,verde1,propiedad,300,verde,si,no,0,0,8764,8464,6,7
91,3,carla,1,5,6,33,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,8756,8756,6,6
92,4,diego,5,5,10,29,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,9360,9360,4,4
93,1,ana,2,2,4,14,18,no,suerte3,suerte,0,ninguno,no,no,0,0,8380,8380,8,8
94,2,bob,5,4,9,32,1,si,salida,salida,0,ninguno,no,no,0,0,8464,8464,7,7
95,3,carla,5,6,11,39,10,si,gris3,propiedad,120,gris,no,si,24,24,8756,8732,6,6
96,4,diego,4,2,6,39,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,9384,9384,4,4
97,1,ana,1,4,5,18,23,no,suerte4,suerte,0,ninguno,no,no,0,0,8380,8380,8,8
98,2,bob,4,3,7,1,8,no,suerte2,suerte,0,ninguno,no,no,0,0,8464,8464,7,7
99,3,carla,1,1,2,10,12,no,rosa1,propiedad,140,rosa,no,si,28,28,8732,8704,6,6
100,4,diego,5,4,9,5,14,no,rosa2,propiedad,140,rosa,no,si,28,28,9384,9356,4,4
101,1,ana,2,5,7,23,30,no,amarillo3,propiedad,280,amarillo,no,si,56,56,8380,8324,8,8
102,2,bob,4,4,8,8,16,no,estacion2,estacion,200,estacion,no,si,40,40,8492,8452,7,7
103,3,carla,1,5,6,12,18,no,suerte3,suerte,0,ninguno,no,no,0,0,8788,8788,6,6
104,4,diego,4,6,10,14,24,no,rojo2,propiedad,220,rojo,no,si,44,44,9356,9312,4,4
105,1,ana,6,2,8,30,38,no,azul1,propiedad,350,azul,si,no,0,0,8364,8014,8,9
106,2,bob,3,1,4,16,20,no,naranja3,propiedad,200,naranja,no,no,0,0,8496,8496,7,7
107,3,carla,3,3,6,18,24,no,rojo2,propiedad,220,rojo,no,si,44,44,8788,8744,6,6
108,4,diego,1,6,7,24,31,no,carcel,carcel,0,ninguno,no,no,0,0,9312,9312,4,4
109,1,ana,5,4,9,38,7,si,gris1,propiedad,100,gris,no,si,20,20,8014,7994,9,9
110,2,bob,5,1,6,20,26,no,estacion3,estacion,200,estacion,no,si,40,40,8560,8520,7,7
111,3,carla,5,1,6,24,30,no,amarillo3,propiedad,280,amarillo,no,no,0,0,8744,8744,6,6
112,4,diego,6,5,11,31,2,si,morado1,propiedad,60,morado,no,no,0,0,9312,9312,4,4
113,1,ana,1,3,4,7,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,8034,8034,9,9
114,2,bob,3,3,6,26,32,no,verde1,propiedad,300,verde,no,no,0,0,8520,8520,7,7
115,3,carla,2,3,5,30,35,no,verde3,propiedad,320,verde,no,no,0,0,8744,8744,6,6
116,4,diego,1,2,3,2,5,no,impuesto1,impuesto,200,ninguno,no,no,0,0,9312,9312,4,4
117,1,ana,5,5,10,11,21,no,parking,parking,0,ninguno,no,no,0,0,8034,8034,9,9
118,2,bob,4,3,7,32,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,8520,8520,7,7
119,3,carla,5,2,7,35,2,si,morado1,propiedad,60,morado,no,si,12,12,8744,8732,6,6
120,4,diego,6,1,7,5,12,no,rosa1,propiedad,140,rosa,no,si,28,28,9324,9296,4,4
121,1,ana,2,1,3,21,24,no,rojo2,propiedad,220,rojo,no,si,44,44,8034,7990,9,9
122,2,bob,5,1,6,39,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,8592,8592,7,7
123,3,carla,5,4,9,2,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,8732,8732,6,6
124,4,diego,4,2,6,12,18,no,suerte3,suerte,0,ninguno,no,no,0,0,9296,9296,4,4
125,1,ana,1,6,7,24,31,no,carcel,carcel,0,ninguno,no,no,0,0,7990,7990,9,9
126,2,bob,2,1,3,5,8,no,suerte2,suerte,0,ninguno,no,no,0,0,8592,8592,7,7
127,3,carla,6,2,8,11,19,no,naranja2,propiedad,180,naranja,no,si,36,36,8732,8696,6,6
128,4,diego,4,1,5,18,23,no,suerte4,suerte,0,ninguno,no,no,0,0,9332,9332,4,4
129,1,ana,2,4,6,31,37,no,suerte6,suerte,0,ninguno,no,no,0,0,7990,7990,9,9
130,2,bob,3,6,9,8,17,no,naranja1,propiedad,180,naranja,no,si,36,36,8592,8556,7,7
131,3,carla,4,4,8,19,27,no,amarillo1,propiedad,260,amarillo,no,si,52,52,8696,8644,6,6
132,4,diego,4,4,8,23,31,no,carcel,carcel,0,ninguno,no,no,0,0,9332,9332,4,4
133,1,ana,6,3,9,37,6,si,estacion1,estacion,200,estacion,no,si,40,40,8078,8038,9,9
134,2,bob,1,2,3,17,20,no,naranja3,propiedad,200,naranja,no,no,0,0,8556,8556,7,7
135,3,carla,5,6,11,27,38,no,azul1,propiedad,350,azul,no,si,70,70,8684,8614,6,6
136,4,diego,5,4,9,31,40,no,azul2,propiedad,400,azul,no,si,80,80,9332,9252,4,4
137,1,ana,4,1,5,6,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,8188,8188,9,9
