turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,dinero_antes_compra,dinero_despues_compra,propiedades_antes,propiedades_despues
117,1,ana,2,3,5,7,12,no,rosa1,propiedad,140,rosa,no,8090,8090,10,10
118,2,bob,1,2,3,4,7,no,gris1,propiedad,100,gris,no,6920,6920,14,14
119,1,ana,5,5,10,12,22,no,rojo1,propiedad,220,rojo,no,8090,8090,10,10
120,2,bob,4,3,7,7,14,no,rosa2,propiedad,140,rosa,no,6920,6920,14,14
121,1,ana,5,2,7,22,29,no,impuesto3,impuesto,100,ninguno,no,8090,8090,10,10
122,2,bob,6,1,7,14,21,no,parking,parking,0,ninguno,no,6920,6920,14,14
123,1,ana,2,1,3,29,32,no,verde1,propiedad,300,verde,no,8090,8090,10,10
124,2,bob,5,1,6,21,27,no,amarillo1,propiedad,260,amarillo,no,6920,6920,14,14
125,1,ana,5,4,9,32,1,si,salida,salida,0,ninguno,no,8090,8090,10,10
126,2,bob,4,2,6,27,33,no,verde2,propiedad,300,verde,no,6920,6920,14,14
127,1,ana,1,6,7,1,8,no,suerte2,suerte,0,ninguno,no,8090,8090,10,10
128,2,bob,2,1,3,33,36,no,estacion4,estacion,200,estacion,no,6920,6920,14,14
129,1,ana,6,2,8,8,16,no,estacion2,estacion,200,estacion,no,8090,8090,10,10
130,2,bob,4,1,5,36,1,si,salida,salida,0,ninguno,no,6920,6920,14,14
131,1,ana,2,4,6,16,22,no,rojo1,propiedad,220,rojo,no,8090,8090,10,10
132,2,bob,3,6,9,1,10,no,gris3,propiedad,120,gris,no,6920,6920,14,14
133,1,ana,4,4,8,22,30,no,amarillo3,propiedad,280,amarillo,no,8090,8090,10,10
134,2,bob,4,4,8,10,18,no,suerte3,suerte,0,ninguno,no,6920,6920,14,14
135,1,ana,6,3,9,30,39,no,impuesto4,impuesto,100,ninguno,no,8090,8090,10,10
136,2,bob,1,2,3,18,21,no,parking,parking,0,ninguno,no,6920,6920,14,14
137,1,ana,5,6,11,39,10,si,gris3,propiedad,120,gris,no,8090,8090,10,10
138,2,bob,5,4,9,21,30,no,amarillo3,propiedad,280,amarillo,no,6920,6920,14,14
139,1,ana,4,1,5,10,15,no,rosa3,propiedad,160,rosa,no,8090,8090,10,10
140,2,bob,2,5,7,30,37,no,suerte6,suerte,0,ninguno,no,6920,6920,14,14
141,1,ana,1,1,2,15,17,no,naranja1,propiedad,180,naranja,no,8090,8090,10,10
142,2,bob,2,5,7,37,4,si,morado2,propiedad,60,morado,no,6920,6920,14,14
143,1,ana,1,6,7,17,24,no,rojo2,propiedad,220,rojo,no,8090,8090,10,10
144,2,bob,3,5,8,4,12,no,rosa1,propiedad,140,rosa,no,6920,6920,14,14
145,1,ana,5,3,8,24,32,no,verde1,propiedad,300,verde,no,8090,8090,10,10
146,2,bob,4,3,7,12,19,no,naranja2,propiedad,180,naranja,no,6920,6920,14,14
147,1,ana,5,2,7,32,39,no,impuesto4,impuesto,100,ninguno,no,8090,8090,10,10
148,2,bob,6,4,10,19,29,no,impuesto3,impuesto,100,ninguno,no,6920,6920,14,14
149,1,ana,6,6,12,39,11,si,visita_carcel,visita_carcel,0,ninguno,no,8090,8090,10,10
150,2,bob,5,5,10,29,39,no,impuesto4,impuesto,100,ninguno,no,6920,6920,14,14
151,1,ana,1,2,3,11,14,no,rosa2,propiedad,140,rosa,no,8090,8090,10,10
152,2,bob,2,4,6,39,5,si,impuesto1,impuesto,200,ninguno,no,6920,6920,14,14
153,1,ana,3,6,9,14,23,no,suerte4,suerte,0,ninguno,no,8090,8090,10,10
154,2,bob,4,2,6,5,11,no,visita_carcel,visita_carcel,0,ninguno,no,6920,6920,14,14
