jugador,posicion,nombre_casilla,visitas
hugo,17,naranja1,5
hugo,18,suerte3,1
hugo,19,naranja2,4
hugo,20,naranja3,4
hugo,21,parking,1
hugo,22,rojo1,6
hugo,23,suerte4,3
hugo,24,rojo2,3
hugo,25,rojo3,3
hugo,26,estacion3,2
hugo,27,amarillo1,4
hugo,28,amarillo2,3
hugo,29,impuesto3,1
hugo,30,amarillo3,4
hugo,31,carcel,4
hugo,32,verde1,2
hugo,33,verde2,3
hugo,34,suerte5,1
hugo,35,verde3,5
hugo,36,estacion4,3
hugo,37,suerte6,2
hugo,38,azul1,2
hugo,39,impuesto4,1
hugo,40,azul2,5
