turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,casilla_destino,nombre_casilla
46,4,diego,2,4,6,3,9,no,9,gris2
47,5,elena,3,3,6,12,18,no,18,suerte3
48,6,fernando,5,6,11,4,15,no,15,rosa3
49,1,ana,2,4,6,11,17,no,17,naranja1
50,2,bob,6,2,8,15,23,no,23,suerte4
51,3,carla,2,1,3,15,18,no,18,suerte3
52,4,diego,6,6,12,9,21,no,21,parking
53,5,elena,5,4,9,18,27,no,27,amarillo1
54,6,fernando,1,1,2,15,17,no,17,naranja1
55,1,ana,4,6,10,17,27,no,27,amarillo1
56,2,bob,6,3,9,23,32,no,32,verde1
57,3,carla,3,6,9,18,27,no,27,amarillo1
58,4,diego,5,6,11,21,32,no,32,verde1
59,5,elena,4,4,8,27,35,no,35,verde3
60,6,fernando,1,6,7,17,24,no,24,rojo2
61,1,ana,6,2,8,27,35,no,35,verde3
62,2,bob,3,6,9,32,1,si,1,salida
63,3,carla,3,1,4,27,31,no,31,carcel
64,4,diego,6,6,12,32,4,si,4,morado2
65,5,elena,6,2,8,35,3,si,3,suerte1
66,6,fernando,4,3,7,24,31,no,31,carcel
67,1,ana,3,3,6,35,1,si,1,salida
68,2,bob,5,4,9,1,10,no,10,gris3
69,3,carla,1,4,5,31,36,no,36,estacion4
70,4,diego,3,3,6,4,10,no,10,gris3
71,5,elena,3,3,6,3,9,no,9,gris2
72,6,fernando,6,5,11,31,2,si,2,morado1
73,1,ana,6,3,9,1,10,no,10,gris3
74,2,bob,4,2,6,10,16,no,16,estacion2
75,3,carla,5,3,8,36,4,si,4,morado2
76,4,diego,6,1,7,10,17,no,17,naranja1
77,5,elena,1,4,5,9,14,no,14,rosa2
78,6,fernando,3,4,7,2,9,no,9,gris2
79,1,ana,2,6,8,10,18,no,18,suerte3
80,2,bob,5,1,6,16,22,no,22,rojo1
81,3,carla,2,2,4,4,8,no,8,suerte2
82,4,diego,6,6,12,17,29,no,29,impuesto3
83,5,elena,2,6,8,14,22,no,22,rojo1
84,6,fernando,3,2,5,9,14,no,14,rosa2
85,1,ana,1,3,4,18,22,no,22,rojo1
86,2,bob,1,5,6,22,28,no,28,amarillo2
87,3,carla,5,5,10,8,18,no,18,suerte3
88,4,diego,2,2,4,29,33,no,33,verde2
89,5,elena,5,4,9,22,31,no,31,carcel
90,6,fernando,5,6,11,14,25,no,25,rojo3
91,1,ana,4,2,6,22,28,no,28,amarillo2
92,2,bob,1,4,5,28,33,no,33,verde2
93,3,carla,4,3,7,18,25,no,25,rojo3
94,4,diego,1,1,2,33,35,no,35,verde3
95,5,elena,5,4,9,31,40,no,40,azul2
96,6,fernando,2,5,7,25,32,no,32,verde1
97,1,ana,4,4,8,28,36,no,36,estacion4
98,2,bob,1,5,6,33,39,no,39,impuesto4
99,3,carla,4,6,10,25,35,no,35,verde3
100,4,diego,6,2,8,35,3,si,3,suerte1
101,5,elena,3,1,4,40,4,si,4,morado2
102,6,fernando,3,3,6,32,38,no,38,azul1
103,1,ana,1,6,7,36,3,si,3,suerte1
104,2,bob,5,4,9,39,8,si,8,suerte2
105,3,carla,5,1,6,35,1,si,1,salida
106,4,diego,5,1,6,3,9,no,9,gris2
107,5,elena,6,5,11,4,15,no,15,rosa3
108,6,fernando,1,3,4,38,2,si,2,morado1
109,1,ana,3,3,6,3,9,no,9,gris2
110,2,bob,2,3,5,8,13,no,13,impuesto2
111,3,carla,1,2,3,1,4,no,4,morado2
112,4,diego,5,5,10,9,19,no,19,naranja2
113,5,elena,4,3,7,15,22,no,22,rojo1
114,6,fernando,5,2,7,2,9,no,9,gris2
115,1,ana,6,1,7,9,16,no,16,estacion2
116,2,bob,2,1,3,13,16,no,16,estacion2
117,3,carla,5,1,6,4,10,no,10,gris3
118,4,diego,5,4,9,19,28,no,28,amarillo2
119,5,elena,4,2,6,22,28,no,28,amarillo2
120,6,fernando,1,6,7,9,16,no,16,estacion2
121,1,ana,2,1,3,16,19,no,19,naranja2
122,2,bob,6,2,8,16,24,no,24,rojo2
123,3,carla,4,1,5,10,15,no,15,rosa3
124,4,diego,2,4,6,28,34,no,34,suerte5
125,5,elena,3,6,9,28,37,no,37,suerte6
126,6,fernando,4,4,8,16,24,no,24,rojo2
127,1,ana,4,4,8,19,27,no,27,amarillo1
128,2,bob,6,3,9,24,33,no,33,verde2
129,3,carla,1,2,3,15,18,no,18,suerte3
130,4,diego,5,6,11,34,5,si,5,impuesto1
131,5,elena,5,4,9,37,6,si,6,estacion1
132,6,fernando,4,1,5,24,29,no,29,impuesto3
133,1,ana,2,5,7,27,34,no,34,suerte5
134,2,bob,1,1,2,33,35,no,35,verde3
135,3,carla,2,5,7,18,25,no,25,rojo3
136,4,diego,1,6,7,5,12,no,12,rosa1
137,5,elena,3,5,8,6,14,no,14,rosa2
138,6,fernando,5,3,8,29,37,no,37,suerte6
139,1,ana,4,3,7,34,1,si,1,salida
140,2,bob,5,2,7,35,2,si,2,morado1
141,3,carla,6,4,10,25,35,no,35,verde3
142,4,diego,6,6,12,12,24,no,24,rojo2
143,5,elena,5,5,10,14,24,no,24,rojo2
144,6,fernando,1,2,3,37,40,no,40,azul2
145,1,ana,2,4,6,1,7,no,7,gris1
146,2,bob,3,6,9,2,11,no,11,visita_carcel
147,3,carla,4,2,6,35,1,si,1,salida
148,4,diego,3,6,9,24,33,no,33,verde2
149,5,elena,3,5,8,24,32,no,32,verde1
150,6,fernando,1,1,2,40,2,si,2,morado1
151,1,ana,3,5,8,7,15,no,15,rosa3
152,2,bob,3,5,8,11,19,no,19,naranja2
153,3,carla,3,2,5,1,6,no,6,estacion1
154,4,diego,6,2,8,33,1,si,1,salida
155,5,elena,3,2,5,32,37,no,37,suerte6
156,6,fernando,2,5,7,2,9,no,9,gris2
157,1,ana,2,1,3,15,18,no,18,suerte3
158,2,bob,6,4,10,19,29,no,29,impuesto3
159,3,carla,3,4,7,6,13,no,13,impuesto2
160,4,diego,1,5,6,1,7,no,7,gris1
161,5,elena,3,3,6,37,3,si,3,suerte1
162,6,fernando,3,2,5,9,14,no,14,rosa2
163,1,ana,5,4,9,18,27,no,27,amarillo1
164,2,bob,5,2,7,29,36,no,36,estacion4
165,3,carla,4,4,8,13,21,no,21,parking
166,4,diego,3,6,9,7,16,no,16,estacion2
167,5,elena,6,3,9,3,12,no,12,rosa1
168,6,fernando,5,6,11,14,25,no,25,rojo3
169,1,ana,5,1,6,27,33,no,33,verde2
170,2,bob,2,3,5,36,1,si,1,salida
171,3,carla,1,6,7,21,28,no,28,amarillo2
172,4,diego,6,1,7,16,23,no,23,suerte4
173,5,elena,1,5,6,12,18,no,18,suerte3
174,6,fernando,4,3,7,25,32,no,32,verde1
175,1,ana,5,6,11,33,4,si,4,morado2
176,2,bob,6,2,8,1,9,no,9,gris2
177,3,carla,2,4,6,28,34,no,34,suerte5
178,4,diego,4,3,7,23,30,no,30,amarillo3
179,5,elena,1,3,4,18,22,no,22,rojo1
180,6,fernando,4,4,8,32,40,no,40,azul2
181,1,ana,3,2,5,4,9,no,9,gris2
182,2,bob,3,4,7,9,16,no,16,estacion2
183,3,carla,2,3,5,34,39,no,39,impuesto4
184,4,diego,3,1,4,30,34,no,34,suerte5
185,5,elena,6,2,8,22,30,no,30,amarillo3
186,6,fernando,5,1,6,40,6,si,6,estacion1
187,1,ana,1,1,2,9,11,no,11,visita_carcel
188,2,bob,4,1,5,16,21,no,21,parking
189,3,carla,1,5,6,39,5,si,5,impuesto1
190,4,diego,4,6,10,34,4,si,4,morado2
191,5,elena,2,1,3,30,33,no,33,verde2
192,6,fernando,6,5,11,6,17,no,17,naranja1
193,1,ana,2,1,3,11,14,no,14,rosa2
194,2,bob,6,4,10,21,31,no,31,carcel
195,3,carla,5,3,8,5,13,no,13,impuesto2
196,4,diego,1,2,3,4,7,no,7,gris1
197,5,elena,3,4,7,33,40,no,40,azul2
198,6,fernando,1,4,5,17,22,no,22,rojo1
199,1,ana,5,6,11,14,25,no,25,rojo3
200,2,bob,4,2,6,31,37,no,37,suerte6
201,3,carla,3,6,9,13,22,no,22,rojo1
202,4,diego,2,4,6,7,13,no,13,impuesto2
203,5,elena,6,1,7,40,7,si,7,gris1
204,6,fernando,5,1,6,22,28,no,28,amarillo2
205,1,ana,1,1,2,25,27,no,27,amarillo1
206,2,bob,4,5,9,37,6,si,6,estacion1
207,3,carla,2,5,7,22,29,no,29,impuesto3
208,4,diego,3,5,8,13,21,no,21,parking
209,5,elena,2,6,8,7,15,no,15,rosa3
210,6,fernando,2,2,4,28,32,no,32,verde1
211,1,ana,5,6,11,27,38,no,38,azul1
212,2,bob,3,4,7,6,13,no,13,impuesto2
213,3,carla,6,1,7,29,36,no,36,estacion4
214,4,diego,2,3,5,21,26,no,26,estacion3
215,5,elena,6,2,8,15,23,no,23,suerte4
216,6,fernando,2,5,7,32,39,no,39,impuesto4
217,1,ana,3,5,8,38,6,si,6,estacion1
218,2,bob,4,1,5,13,18,no,18,suerte3
219,3,carla,2,5,7,36,3,si,3,suerte1
220,4,diego,1,5,6,26,32,no,32,verde1
221,5,elena,4,6,10,23,33,no,33,verde2
222,6,fernando,3,1,4,39,3,si,3,suerte1
223,1,ana,3,5,8,6,14,no,14,rosa2
224,2,bob,1,4,5,18,23,no,23,suerte4
225,3,carla,3,2,5,3,8,no,8,suerte2
226,4,diego,2,4,6,32,38,no,38,azul1
227,5,elena,3,3,6,33,39,no,39,impuesto4
228,6,fernando,5,6,11,3,14,no,14,rosa2
229,1,ana,2,4,6,14,20,no,20,naranja3
230,2,bob,6,2,8,23,31,no,31,carcel
231,3,carla,2,1,3,8,11,no,11,visita_carcel
232,4,diego,6,6,12,38,10,si,10,gris3
233,5,elena,5,4,9,39,8,si,8,suerte2
234,6,fernando,1,1,2,14,16,no,16,estacion2
235,1,ana,4,6,10,20,30,no,30,amarillo3
236,2,bob,6,3,9,31,40,no,40,azul2
237,3,carla,3,6,9,11,20,no,20,naranja3
238,4,diego,5,6,11,10,21,no,21,parking
239,5,elena,4,4,8,8,16,no,16,estacion2
240,6,fernando,1,6,7,16,23,no,23,suerte4
241,1,ana,6,2,8,30,38,no,38,azul1
242,2,bob,3,6,9,40,9,si,9,gris2
243,3,carla,3,1,4,20,24,no,24,rojo2
244,4,diego,6,6,12,21,33,no,33,verde2
245,5,elena,6,2,8,16,24,no,24,rojo2
246,6,fernando,4,3,7,23,30,no,30,amarillo3
247,1,ana,3,3,6,38,4,si,4,morado2
248,2,bob,5,4,9,9,18,no,18,suerte3
249,3,carla,1,4,5,24,29,no,29,impuesto3
250,4,diego,3,3,6,33,39,no,39,impuesto4
251,5,elena,3,3,6,24,30,no,30,amarillo3
252,6,fernando,6,5,11,30,1,si,1,salida
253,1,ana,6,3,9,4,13,no,13,impuesto2
254,2,bob,4,2,6,18,24,no,24,rojo2
255,3,carla,5,3,8,29,37,no,37,suerte6
256,4,diego,6,1,7,39,6,si,6,estacion1
257,5,elena,1,4,5,30,35,no,35,verde3
258,6,fernando,3,4,7,1,8,no,8,suerte2
259,1,ana,2,6,8,13,21,no,21,parking
260,2,bob,5,1,6,24,30,no,30,amarillo3
261,3,carla,2,2,4,37,1,si,1,salida
262,4,diego,6,6,12,6,18,no,18,suerte3
263,5,elena,2,6,8,35,3,si,3,suerte1
264,6,fernando,3,2,5,8,13,no,13,impuesto2
265,1,ana,1,3,4,21,25,no,25,rojo3
266,2,bob,1,5,6,30,36,no,36,estacion4
267,3,carla,5,5,10,1,11,no,11,visita_carcel
268,4,diego,2,2,4,18,22,no,22,rojo1
269,5,elena,5,4,9,3,12,no,12,rosa1
270,6,fernando,5,6,11,13,24,no,24,rojo2
271,1,ana,4,2,6,25,31,no,31,carcel
272,2,bob,1,4,5,36,1,si,1,salida
273,3,carla,4,3,7,11,18,no,18,suerte3
274,4,diego,1,1,2,22,24,no,24,rojo2
275,5,elena,5,4,9,12,21,no,21,parking
276,6,fernando,2,5,7,24,31,no,31,carcel
277,1,ana,4,4,8,31,39,no,39,impuesto4
278,2,bob,1,5,6,1,7,no,7,gris1
279,3,carla,4,6,10,18,28,no,28,amarillo2
280,4,diego,6,2,8,24,32,no,32,verde1
281,5,elena,3,1,4,21,25,no,25,rojo3
282,6,fernando,3,3,6,31,37,no,37,suerte6
283,1,ana,1,6,7,39,6,si,6,estacion1
284,2,bob,5,4,9,7,16,no,16,estacion2
285,3,carla,5,1,6,28,34,no,34,suerte5
286,4,diego,5,1,6,32,38,no,38,azul1
287,5,elena,6,5,11,25,36,no,36,estacion4
288,6,fernando,1,3,4,37,1,si,1,salida
289,1,ana,3,3,6,6,12,no,12,rosa1
290,2,bob,2,3,5,16,21,no,21,parking
291,3,carla,1,2,3,34,37,no,37,suerte6
292,4,diego,5,5,10,38,8,si,8,suerte2
293,5,elena,4,3,7,36,3,si,3,suerte1
294,6,fernando,5,2,7,1,8,no,8,suerte2
295,1,ana,6,1,7,12,19,no,19,naranja2
296,2,bob,2,1,3,21,24,no,24,rojo2
297,3,carla,5,1,6,37,3,si,3,suerte1
298,4,diego,5,4,9,8,17,no,17,naranja1
299,5,elena,4,2,6,3,9,no,9,gris2
300,6,fernando,1,6,7,8,15,no,15,rosa3
301,1,ana,2,1,3,19,22,no,22,rojo1
302,2,bob,6,2,8,24,32,no,32,verde1
303,3,carla,4,1,5,3,8,no,8,suerte2
304,4,diego,2,4,6,17,23,no,23,suerte4
305,5,elena,3,6,9,9,18,no,18,suerte3
306,6,fernando,4,4,8,15,23,no,23,suerte4
307,1,ana,4,4,8,22,30,no,30,amarillo3
308,2,bob,6,3,9,32,1,si,1,salida
309,3,carla,1,2,3,8,11,no,11,visita_carcel
310,4,diego,5,6,11,23,34,no,34,suerte5
311,5,elena,5,4,9,18,27,no,27,amarillo1
312,6,fernando,4,1,5,23,28,no,28,amarillo2
313,1,ana,2,5,7,30,37,no,37,suerte6
314,2,bob,1,1,2,1,3,no,3,suerte1
315,3,carla,2,5,7,11,18,no,18,suerte3
316,4,diego,1,6,7,34,1,si,1,salida
317,5,elena,3,5,8,27,35,no,35,verde3
318,6,fernando,5,3,8,28,36,no,36,estacion4
319,1,ana,4,3,7,37,4,si,4,morado2
320,2,bob,5,2,7,3,10,no,10,gris3
321,3,carla,6,4,10,18,28,no,28,amarillo2
322,4,diego,6,6,12,1,13,no,13,impuesto2
323,5,elena,5,5,10,35,5,si,5,impuesto1
324,6,fernando,1,2,3,36,39,no,39,impuesto4
325,1,ana,2,4,6,4,10,no,10,gris3
326,2,bob,3,6,9,10,19,no,19,naranja2
327,3,carla,4,2,6,28,34,no,34,suerte5
328,4,diego,3,6,9,13,22,no,22,rojo1
329,5,elena,3,5,8,5,13,no,13,impuesto2
330,6,fernando,1,1,2,39,1,si,1,salida
331,1,ana,3,5,8,10,18,no,18,suerte3
332,2,bob,3,5,8,19,27,no,27,amarillo1
333,3,carla,3,2,5,34,39,no,39,impuesto4
334,4,diego,6,2,8,22,30,no,30,amarillo3
335,5,elena,3,2,5,13,18,no,18,suerte3
336,6,fernando,2,5,7,1,8,no,8,suerte2
337,1,ana,2,1,3,18,21,no,21,parking
338,2,bob,6,4,10,27,37,no,37,suerte6
339,3,carla,3,4,7,39,6,si,6,estacion1
340,4,diego,1,5,6,30,36,no,36,estacion4
341,5,elena,3,3,6,18,24,no,24,rojo2
342,6,fernando,3,2,5,8,13,no,13,impuesto2
343,1,ana,5,4,9,21,30,no,30,amarillo3
344,2,bob,5,2,7,37,4,si,4,morado2
345,3,carla,4,4,8,6,14,no,14,rosa2
346,4,diego,3,6,9,36,5,si,5,impuesto1
347,5,elena,6,3,9,24,33,no,33,verde2
348,6,fernando,5,6,11,13,24,no,24,rojo2
349,1,ana,5,1,6,30,36,no,36,estacion4
350,2,bob,2,3,5,4,9,no,9,gris2
351,3,carla,1,6,7,14,21,no,21,parking
352,4,diego,6,1,7,5,12,no,12,rosa1
353,5,elena,1,5,6,33,39,no,39,impuesto4
354,6,fernando,4,3,7,24,31,no,31,carcel
355,1,ana,5,6,11,36,7,si,7,gris1
356,2,bob,6,2,8,9,17,no,17,naranja1
357,3,carla,2,4,6,21,27,no,27,amarillo1
358,4,diego,4,3,7,12,19,no,19,naranja2
359,5,elena,1,3,4,39,3,si,3,suerte1
360,6,fernando,4,4,8,31,39,no,39,impuesto4
361,1,ana,3,2,5,7,12,no,12,rosa1
362,2,bob,3,4,7,17,24,no,24,rojo2
363,3,carla,2,3,5,27,32,no,32,verde1
364,4,diego,3,1,4,19,23,no,23,suerte4
365,5,elena,6,2,8,3,11,no,11,visita_carcel
366,6,fernando,5,1,6,39,5,si,5,impuesto1
367,1,ana,1,1,2,12,14,no,14,rosa2
368,2,bob,4,1,5,24,29,no,29,impuesto3
369,3,carla,1,5,6,32,38,no,38,azul1
370,4,diego,4,6,10,23,33,no,33,verde2
371,5,elena,2,1,3,11,14,no,14,rosa2
372,6,fernando,6,5,11,5,16,no,16,estacion2
373,1,ana,2,1,3,14,17,no,17,naranja1
374,2,bob,6,4,10,29,39,no,39,impuesto4
375,3,carla,5,3,8,38,6,si,6,estacion1
376,4,diego,1,2,3,33,36,no,36,estacion4
377,5,elena,3,4,7,14,21,no,21,parking
378,6,fernando,1,4,5,16,21,no,21,parking
379,1,ana,5,6,11,17,28,no,28,amarillo2
380,2,bob,4,2,6,39,5,si,5,impuesto1
381,3,carla,3,6,9,6,15,no,15,rosa3
382,4,diego,2,4,6,36,2,si,2,morado1
383,5,elena,6,1,7,21,28,no,28,amarillo2
384,6,fernando,5,1,6,21,27,no,27,amarillo1
385,1,ana,1,1,2,28,30,no,30,amarillo3
386,2,bob,4,5,9,5,14,no,14,rosa2
387,3,carla,2,5,7,15,22,no,22,rojo1
388,4,diego,3,5,8,2,10,no,10,gris3
389,5,elena,2,6,8,28,36,no,36,estacion4
390,6,fernando,2,2,4,27,31,no,31,carcel
391,1,ana,5,6,11,30,1,si,1,salida
392,2,bob,3,4,7,14,21,no,21,parking
393,3,carla,6,1,7,22,29,no,29,impuesto3
394,4,diego,2,3,5,10,15,no,15,rosa3
395,5,elena,6,2,8,36,4,si,4,morado2
396,6,fernando,2,5,7,31,38,no,38,azul1
397,1,ana,3,5,8,1,9,no,9,gris2
398,2,bob,4,1,5,21,26,no,26,estacion3
399,3,carla,2,5,7,29,36,no,36,estacion4
400,4,diego,1,5,6,15,21,no,21,parking
401,5,elena,4,6,10,4,14,no,14,rosa2
402,6,fernando,3,1,4,38,2,si,2,morado1
403,1,ana,3,5,8,9,17,no,17,naranja1
404,2,bob,1,4,5,26,31,no,31,carcel
405,3,carla,3,2,5,36,1,si,1,salida
406,4,diego,2,4,6,21,27,no,27,amarillo1
407,5,elena,3,3,6,14,20,no,20,naranja3
408,6,fernando,5,6,11,2,13,no,13,impuesto2
409,1,ana,2,4,6,17,23,no,23,suerte4
410,2,bob,6,2,8,31,39,no,39,impuesto4
411,3,carla,2,1,3,1,4,no,4,morado2
412,4,diego,6,6,12,27,39,no,39,impuesto4
413,5,elena,5,4,9,20,29,no,29,impuesto3
414,6,fernando,1,1,2,13,15,no,15,rosa3
415,1,ana,4,6,10,23,33,no,33,verde2
416,2,bob,6,3,9,39,8,si,8,suerte2
417,3,carla,3,6,9,4,13,no,13,impuesto2
418,4,diego,5,6,11,39,10,si,10,gris3
419,5,elena,4,4,8,29,37,no,37,suerte6
420,6,fernando,1,6,7,15,22,no,22,rojo1
421,1,ana,6,2,8,33,1,si,1,salida
422,2,bob,3,6,9,8,17,no,17,naranja1
423,3,carla,3,1,4,13,17,no,17,naranja1
424,4,diego,6,6,12,10,22,no,22,rojo1
425,5,elena,6,2,8,37,5,si,5,impuesto1
426,6,fernando,4,3,7,22,29,no,29,impuesto3
427,1,ana,3,3,6,1,7,no,7,gris1
428,2,bob,5,4,9,17,26,no,26,estacion3
429,3,carla,1,4,5,17,22,no,22,rojo1
430,4,diego,3,3,6,22,28,no,28,amarillo2
431,5,elena,3,3,6,5,11,no,11,visita_carcel
432,6,fernando,6,5,11,29,40,no,40,azul2
433,1,ana,6,3,9,7,16,no,16,estacion2
434,2,bob,4,2,6,26,32,no,32,verde1
435,3,carla,5,3,8,22,30,no,30,amarillo3
436,4,diego,6,1,7,28,35,no,35,verde3
437,5,elena,1,4,5,11,16,no,16,estacion2
438,6,fernando,3,4,7,40,7,si,7,gris1
439,1,ana,2,6,8,16,24,no,24,rojo2
440,2,bob,5,1,6,32,38,no,38,azul1
441,3,carla,2,2,4,30,34,no,34,suerte5
442,4,diego,6,6,12,35,7,si,7,gris1
443,5,elena,2,6,8,16,24,no,24,rojo2
444,6,fernando,3,2,5,7,12,no,12,rosa1
445,1,ana,1,3,4,24,28,no,28,amarillo2
446,2,bob,1,5,6,38,4,si,4,morado2
447,3,carla,5,5,10,34,4,si,4,morado2
448,4,diego,2,2,4,7,11,no,11,visita_carcel
449,5,elena,5,4,9,24,33,no,33,verde2
450,6,fernando,5,6,11,12,23,no,23,suerte4
451,1,ana,4,2,6,28,34,no,34,suerte5
452,2,bob,1,4,5,4,9,no,9,gris2
453,3,carla,4,3,7,4,11,no,11,visita_carcel
454,4,diego,1,1,2,11,13,no,13,impuesto2
455,5,elena,5,4,9,33,2,si,2,morado1
456,6,fernando,2,5,7,23,30,no,30,amarillo3
457,1,ana,4,4,8,34,2,si,2,morado1
458,2,bob,1,5,6,9,15,no,15,rosa3
459,3,carla,4,6,10,11,21,no,21,parking
460,4,diego,6,2,8,13,21,no,21,parking
461,5,elena,3,1,4,2,6,no,6,estacion1
462,6,fernando,3,3,6,30,36,no,36,estacion4
463,1,ana,1,6,7,2,9,no,9,gris2
464,2,bob,5,4,9,15,24,no,24,rojo2
465,3,carla,5,1,6,21,27,no,27,amarillo1
466,4,diego,5,1,6,21,27,no,27,amarillo1
467,5,elena,6,5,11,6,17,no,17,naranja1
468,6,fernando,1,3,4,36,40,no,40,azul2
469,1,ana,3,3,6,9,15,no,15,rosa3
470,2,bob,2,3,5,24,29,no,29,impuesto3
471,3,carla,1,2,3,27,30,no,30,amarillo3
472,4,diego,5,5,10,27,37,no,37,suerte6
473,5,elena,4,3,7,17,24,no,24,rojo2
474,6,fernando,5,2,7,40,7,si,7,gris1
475,1,ana,6,1,7,15,22,no,22,rojo1
476,2,bob,2,1,3,29,32,no,32,verde1
477,3,carla,5,1,6,30,36,no,36,estacion4
478,4,diego,5,4,9,37,6,si,6,estacion1
479,5,elena,4,2,6,24,30,no,30,amarillo3
480,6,fernando,1,6,7,7,14,no,14,rosa2
481,1,ana,2,1,3,22,25,no,25,rojo3
482,2,bob,6,2,8,32,40,no,40,azul2
483,3,carla,4,1,5,36,1,si,1,salida
484,4,diego,2,4,6,6,12,no,12,rosa1
485,5,elena,3,6,9,30,39,no,39,impuesto4
486,6,fernando,4,4,8,14,22,no,22,rojo1
487,1,ana,4,4,8,25,33,no,33,verde2
488,2,bob,6,3,9,40,9,si,9,gris2
489,3,carla,1,2,3,1,4,no,4,morado2
490,4,diego,5,6,11,12,23,no,23,suerte4
491,5,elena,5,4,9,39,8,si,8,suerte2
492,6,fernando,4,1,5,22,27,no,27,amarillo1
493,1,ana,2,5,7,33,40,no,40,azul2
494,2,bob,1,1,2,9,11,no,11,visita_carcel
495,3,carla,2,5,7,4,11,no,11,visita_carcel
496,4,diego,1,6,7,23,30,no,30,amarillo3
497,5,elena,3,5,8,8,16,no,16,estacion2
498,6,fernando,5,3,8,27,35,no,35,verde3
499,1,ana,4,3,7,40,7,si,7,gris1
500,2,bob,5,2,7,11,18,no,18,suerte3
501,3,carla,6,4,10,11,21,no,21,parking
502,4,diego,6,6,12,30,2,si,2,morado1
503,5,elena,5,5,10,16,26,no,26,estacion3
504,6,fernando,1,2,3,35,38,no,38,azul1
505,1,ana,2,4,6,7,13,no,13,impuesto2
506,2,bob,3,6,9,18,27,no,27,amarillo1
507,3,carla,4,2,6,21,27,no,27,amarillo1
508,4,diego,3,6,9,2,11,no,11,visita_carcel
509,5,elena,3,5,8,26,34,no,34,suerte5
510,6,fernando,1,1,2,38,40,no,40,azul2
511,1,ana,3,5,8,13,21,no,21,parking
512,2,bob,3,5,8,27,35,no,35,verde3
513,3,carla,3,2,5,27,32,no,32,verde1
514,4,diego,6,2,8,11,19,no,19,naranja2
515,5,elena,3,2,5,34,39,no,39,impuesto4
516,6,fernando,2,5,7,40,7,si,7,gris1
517,1,ana,2,1,3,21,24,no,24,rojo2
518,2,bob,6,4,10,35,5,si,5,impuesto1
519,3,carla,3,4,7,32,39,no,39,impuesto4
520,4,diego,1,5,6,19,25,no,25,rojo3
521,5,elena,3,3,6,39,5,si,5,impuesto1
522,6,fernando,3,2,5,7,12,no,12,rosa1
523,1,ana,5,4,9,24,33,no,33,verde2
524,2,bob,5,2,7,5,12,no,12,rosa1
525,3,carla,4,4,8,39,7,si,7,gris1
526,4,diego,3,6,9,25,34,no,34,suerte5
527,5,elena,6,3,9,5,14,no,14,rosa2
528,6,fernando,5,6,11,12,23,no,23,suerte4
529,1,ana,5,1,6,33,39,no,39,impuesto4
530,2,bob,2,3,5,12,17,no,17,naranja1
531,3,carla,1,6,7,7,14,no,14,rosa2
532,4,diego,6,1,7,34,1,si,1,salida
533,5,elena,1,5,6,14,20,no,20,naranja3
