turno,jugador,monopoly,casas_compradas,coste_casas,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_monopoly,dinero_tras_carcel,dinero_final,props_antes,props_despues
100,javier,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,9556,9556,9556,9456,0,0
101,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9412,9412,9412,9412,1,1
102,bob,no,0,0,gris1,propiedad,no,si,no,no,no,no,9236,9236,9236,9216,3,3
103,carla,no,0,0,suerte6,suerte,no,no,no,no,no,no,9284,9284,9284,9284,4,4
104,diego,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,9464,9464,9464,9264,1,1
105,elena,no,0,0,estacion4,estacion,no,no,no,no,no,no,9400,9400,9400,9400,2,2
106,fernando,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9396,9396,9396,9396,2,2
107,gema,no,0,0,gris2,propiedad,no,si,no,no,no,no,9607,9607,9607,9587,1,1
108,hugo,no,0,0,verde1,propiedad,no,si,no,no,no,no,9064,9064,9064,9004,5,5
109,irene,no,0,0,morado2,propiedad,no,si,no,no,no,no,9798,9798,9798,9786,3,3
110,javier,no,0,0,estacion1,estacion,no,si,no,no,no,no,9456,9456,9456,9416,0,0
111,ana,no,0,0,naranja3,propiedad,si,no,no,no,no,no,9412,9412,9412,9212,1,2
112,bob,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,9216,9216,9216,9066,3,3
113,carla,no,0,0,suerte1,suerte,no,no,no,no,no,no,9304,9304,9304,9304,4,4
114,diego,no,0,0,estacion2,estacion,no,si,no,no,no,no,9304,9304,9304,9264,1,1
115,elena,no,0,0,azul2,propiedad,si,no,no,no,no,no,9460,9460,9460,9060,2,3
116,fernando,no,0,0,naranja1,propiedad,no,si,no,no,no,no,9436,9436,9436,9400,2,2
117,gema,no,0,0,rosa2,propiedad,si,no,no,no,no,no,9587,9587,9587,9447,1,2
118,hugo,no,0,0,verde3,propiedad,no,si,no,no,no,no,9052,9052,9052,8988,5,5
119,irene,no,0,0,rosa2,propiedad,no,si,no,no,no,no,9786,9786,9786,9758,3,3
120,javier,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,9416,9416,9416,9266,0,0
121,ana,no,0,0,amarillo1,propiedad,no,si,no,no,no,no,9212,9212,9212,9160,2,2
122,bob,no,0,0,naranja3,propiedad,no,si,no,no,no,no,9066,9066,9066,9026,3,3
123,carla,no,0,0,estacion1,estacion,no,si,no,no,no,no,9368,9368,9368,9328,4,4
124,diego,no,0,0,rojo1,propiedad,no,si,no,no,no,no,9304,9304,9304,9260,1,1
125,elena,no,0,0,gris2,propiedad,no,si,no,no,no,no,9060,9060,9060,9040,3,3
126,fernando,no,0,0,suerte4,suerte,no,no,no,no,no,no,9400,9400,9400,9400,2,2
127,gema,no,0,0,parking,parking,no,no,no,si,no,no,9475,9475,9475,9981,2,2
128,hugo,no,0,0,azul1,propiedad,no,si,no,no,no,no,9040,9040,9040,8970,5,5
