turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,num_casas,alquiler_teorico,pago_real
249,irene,carla,verde3,propiedad,verde,320,0,64,64
251,ana,fernando,rojo2,propiedad,rojo,220,0,44,44
252,bob,carla,verde3,propiedad,verde,320,0,64,64
254,diego,ana,estacion3,estacion,estacion,200,0,40,40
257,gema,hugo,amarillo1,propiedad,amarillo,260,0,52,52
259,irene,diego,estacion1,estacion,estacion,200,0,40,40
260,javier,hugo,amarillo1,propiedad,amarillo,260,0,52,52
261,ana,bob,amarillo3,propiedad,amarillo,280,0,56,56
263,carla,hugo,amarillo2,propiedad,amarillo,260,0,52,52
265,elena,hugo,morado2,propiedad,morado,60,0,12,12
267,gema,irene,verde2,propiedad,verde,300,0,60,60
270,javier,carla,verde3,propiedad,verde,320,0,64,64
271,ana,carla,verde3,propiedad,verde,320,0,64,64
272,bob,irene,gris1,propiedad,gris,100,0,20,20
276,fernando,diego,estacion1,estacion,estacion,200,0,40,40
277,gema,hugo,morado2,propiedad,morado,60,0,12,12
280,javier,bob,morado1,propiedad,morado,60,0,12,12
282,bob,fernando,estacion2,estacion,estacion,200,0,40,40
284,diego,carla,naranja2,propiedad,naranja,180,0,36,36
285,elena,gema,rosa2,propiedad,rosa,140,0,28,28
287,gema,hugo,rosa1,propiedad,rosa,140,0,28,28
290,javier,carla,gris2,propiedad,gris,100,0,20,20
291,ana,diego,estacion1,estacion,estacion,200,0,40,40
293,carla,irene,gris1,propiedad,gris,100,0,20,20
294,diego,bob,amarillo3,propiedad,amarillo,280,0,56,56
296,fernando,bob,rojo1,propiedad,rojo,220,0,44,44
297,gema,hugo,naranja1,propiedad,naranja,180,0,36,36
299,irene,elena,verde1,propiedad,verde,300,0,60,60
300,javier,carla,naranja2,propiedad,naranja,180,0,36,36
303,carla,gema,rosa2,propiedad,rosa,140,0,28,28
304,diego,irene,verde2,propiedad,verde,300,0,60,60
305,elena,fernando,rojo2,propiedad,rojo,220,0,44,44
309,irene,carla,verde3,propiedad,verde,320,0,64,64
310,javier,hugo,amarillo1,propiedad,amarillo,260,0,52,52
312,bob,carla,verde3,propiedad,verde,320,0,64,64
317,gema,ana,estacion3,estacion,estacion,200,0,40,40
319,irene,hugo,morado2,propiedad,morado,60,0,12,12
320,javier,elena,verde1,propiedad,verde,300,0,60,60
321,ana,carla,rojo3,propiedad,rojo,240,0,48,48
323,carla,bob,amarillo3,propiedad,amarillo,280,0,56,56
327,gema,irene,verde2,propiedad,verde,300,0,60,60
328,hugo,elena,estacion4,estacion,estacion,200,0,40,40
329,irene,gema,rosa2,propiedad,rosa,140,0,28,28
330,javier,hugo,morado2,propiedad,morado,60,0,12,12
331,ana,carla,verde3,propiedad,verde,320,0,64,64
332,bob,elena,azul2,propiedad,azul,400,0,80,80
333,carla,elena,estacion4,estacion,estacion,200,0,40,40
334,diego,hugo,naranja1,propiedad,naranja,180,0,36,36
335,elena,diego,estacion1,estacion,estacion,200,0,40,40
338,hugo,bob,azul1,propiedad,azul,350,0,70,70
339,irene,bob,rojo1,propiedad,rojo,220,0,44,44
340,javier,hugo,rosa1,propiedad,rosa,140,0,28,28
341,ana,elena,azul2,propiedad,azul,400,0,80,80
344,diego,fernando,rojo2,propiedad,rojo,220,0,44,44
345,elena,carla,gris2,propiedad,gris,100,0,20,20
349,irene,hugo,amarillo2,propiedad,amarillo,260,0,52,52
350,javier,hugo,naranja1,propiedad,naranja,180,0,36,36
351,ana,carla,gris2,propiedad,gris,100,0,20,20
352,bob,gema,rosa3,propiedad,rosa,160,0,32,32
354,diego,irene,verde2,propiedad,verde,300,0,60,60
356,fernando,elena,verde1,propiedad,verde,300,0,60,60
358,hugo,carla,gris2,propiedad,gris,100,0,20,20
359,irene,carla,verde3,propiedad,verde,320,0,64,64
360,javier,fernando,rojo2,propiedad,rojo,220,0,44,44
361,ana,gema,rosa3,propiedad,rosa,160,0,32,32
363,carla,ana,naranja3,propiedad,naranja,200,0,40,40
365,elena,fernando,rojo2,propiedad,rojo,220,0,44,44
369,irene,elena,azul2,propiedad,azul,400,0,80,80
372,bob,ana,estacion3,estacion,estacion,200,0,40,40
373,carla,hugo,amarillo2,propiedad,amarillo,260,0,52,52
374,diego,irene,gris1,propiedad,gris,100,0,20,20
375,elena,ana,estacion3,estacion,estacion,200,0,40,40
376,fernando,hugo,morado2,propiedad,morado,60,0,12,12
377,gema,fernando,rojo2,propiedad,rojo,220,0,44,44
382,bob,elena,estacion4,estacion,estacion,200,0,40,40
383,carla,elena,estacion4,estacion,estacion,200,0,40,40
384,diego,irene,gris3,propiedad,gris,120,0,24,24
385,elena,irene,verde2,propiedad,verde,300,0,60,60
386,fernando,carla,gris2,propiedad,gris,100,0,20,20
387,gema,carla,verde3,propiedad,verde,320,0,64,64
388,hugo,irene,verde2,propiedad,verde,300,0,60,60
389,irene,hugo,rosa1,propiedad,rosa,140,0,28,28
391,ana,bob,amarillo3,propiedad,amarillo,280,0,56,56
393,carla,bob,azul1,propiedad,azul,350,0,70,70
394,diego,carla,naranja2,propiedad,naranja,180,0,36,36
396,fernando,hugo,naranja1,propiedad,naranja,180,0,36,36
402,bob,irene,gris1,propiedad,gris,100,0,20,20
403,carla,diego,estacion1,estacion,estacion,200,0,40,40
404,diego,ana,estacion3,estacion,estacion,200,0,40,40
406,fernando,bob,rojo1,propiedad,rojo,220,0,44,44
407,gema,irene,gris3,propiedad,gris,120,0,24,24
410,javier,gema,rosa3,propiedad,rosa,160,0,32,32
412,bob,hugo,rosa1,propiedad,rosa,140,0,28,28
414,diego,elena,verde1,propiedad,verde,300,0,60,60
415,elena,gema,rosa2,propiedad,rosa,140,0,28,28
416,fernando,irene,verde2,propiedad,verde,300,0,60,60
417,gema,fernando,estacion2,estacion,estacion,200,0,40,40
419,irene,elena,estacion4,estacion,estacion,200,0,40,40
420,javier,hugo,amarillo1,propiedad,amarillo,260,0,52,52
421,ana,gema,rosa2,propiedad,rosa,140,0,28,28
422,bob,gema,rosa2,propiedad,rosa,140,0,28,28
426,fernando,hugo,morado2,propiedad,morado,60,0,12,12
427,gema,fernando,rojo2,propiedad,rojo,220,0,44,44
429,irene,hugo,morado2,propiedad,morado,60,0,12,12
430,javier,elena,estacion4,estacion,estacion,200,0,40,40
432,bob,ana,estacion3,estacion,estacion,200,0,40,40
438,hugo,fernando,rojo2,propiedad,rojo,220,0,44,44
440,javier,irene,gris1,propiedad,gris,100,0,20,20
441,ana,hugo,amarillo1,propiedad,amarillo,260,0,52,52
442,bob,elena,verde1,propiedad,verde,300,0,60,60
444,diego,gema,rosa3,propiedad,rosa,160,0,32,32
446,fernando,ana,naranja3,propiedad,naranja,200,0,40,40
448,hugo,bob,amarillo3,propiedad,amarillo,280,0,56,56
449,irene,gema,rosa2,propiedad,rosa,140,0,28,28
450,javier,carla,naranja2,propiedad,naranja,180,0,36,36
451,ana,carla,verde3,propiedad,verde,320,0,64,64
455,elena,hugo,morado2,propiedad,morado,60,0,12,12
457,gema,diego,estacion1,estacion,estacion,200,0,40,40
459,irene,ana,naranja3,propiedad,naranja,200,0,40,40
460,javier,fernando,rojo2,propiedad,rojo,220,0,44,44
461,ana,bob,morado1,propiedad,morado,60,0,12,12
463,carla,irene,gris3,propiedad,gris,120,0,24,24
464,diego,hugo,amarillo2,propiedad,amarillo,260,0,52,52
465,elena,hugo,rosa1,propiedad,rosa,140,0,28,28
466,fernando,bob,amarillo3,propiedad,amarillo,280,0,56,56
467,gema,fernando,estacion2,estacion,estacion,200,0,40,40
468,hugo,carla,gris2,propiedad,gris,100,0,20,20
469,irene,fernando,rojo2,propiedad,rojo,220,0,44,44
470,javier,bob,amarillo3,propiedad,amarillo,280,0,56,56
471,ana,carla,gris2,propiedad,gris,100,0,20,20
473,carla,fernando,estacion2,estacion,estacion,200,0,40,40
477,gema,bob,rojo1,propiedad,rojo,220,0,44,44
478,hugo,gema,rosa2,propiedad,rosa,140,0,28,28
479,irene,hugo,amarillo1,propiedad,amarillo,260,0,52,52
480,javier,elena,azul2,propiedad,azul,400,0,80,80
481,ana,fernando,estacion2,estacion,estacion,200,0,40,40
482,bob,gema,rosa3,propiedad,rosa,160,0,32,32
487,gema,hugo,amarillo2,propiedad,amarillo,260,0,52,52
489,irene,bob,amarillo3,propiedad,amarillo,280,0,56,56
493,carla,elena,verde1,propiedad,verde,300,0,60,60
496,fernando,hugo,rosa1,propiedad,rosa,140,0,28,28
498,hugo,elena,verde1,propiedad,verde,300,0,60,60
