turno,jugador,monopoly,casas_compradas,coste_casas,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_monopoly,dinero_tras_carcel,dinero_final,props_antes,props_despues
71,ana,no,0,0,rojo2,propiedad,no,no,no,no,no,no,5942,5942,5942,5942,12,12
72,bob,no,0,0,suerte3,suerte,no,no,no,no,no,no,5928,5928,5928,5928,13,13
73,ana,no,0,0,verde1,propiedad,no,no,no,no,no,no,5942,5942,5942,5942,12,12
74,bob,no,0,0,rojo3,propiedad,no,si,no,no,no,no,5928,5928,5928,5880,13,13
75,ana,no,0,0,azul1,propiedad,no,si,no,no,no,no,5990,5990,5990,5860,12,12
76,bob,no,0,0,suerte5,suerte,no,no,no,no,no,no,6010,6010,6010,6010,13,13
77,ana,no,0,0,suerte1,suerte,no,no,no,no,no,no,5860,5860,5860,5860,12,12
78,bob,no,0,0,azul2,propiedad,no,no,no,no,no,no,6010,6010,6010,6010,13,13
79,ana,no,0,0,gris2,propiedad,no,si,no,no,no,no,5860,5860,5860,5780,12,12
80,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,6090,6090,6090,6090,13,13
81,ana,no,0,0,suerte3,suerte,no,no,no,no,no,no,5780,5780,5780,5780,12,12
82,bob,no,0,0,naranja1,propiedad,no,si,no,no,no,no,6090,6090,6090,6054,13,13
83,ana,no,0,0,estacion3,estacion,no,no,no,no,no,no,5816,5816,5816,5816,12,12
84,bob,no,0,0,rojo2,propiedad,no,si,no,no,no,no,6054,6054,6054,6010,13,13
85,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,5860,5860,5860,5860,12,12
86,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,6010,6010,6010,6010,13,13
87,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,5860,5860,5860,5860,12,12
88,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,6010,6010,6010,6010,13,13
89,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,5860,5860,5860,5860,12,12
90,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,6010,6010,6010,6010,13,13
91,ana,no,0,0,naranja2,propiedad,no,si,no,no,no,no,5860,5860,5860,5824,12,12
92,bob,no,0,0,estacion2,estacion,no,si,no,no,no,no,6046,6046,6046,6006,13,13
93,ana,no,0,0,suerte4,suerte,no,no,no,no,no,no,5864,5864,5864,5864,12,12
94,bob,no,0,0,rojo1,propiedad,no,no,no,no,no,no,6006,6006,6006,6006,13,13
95,ana,no,0,0,verde2,propiedad,no,no,no,no,no,no,5864,5864,5864,5864,12,12
96,bob,no,0,0,estacion3,estacion,no,si,no,no,no,no,6006,6006,6006,5966,13,13
97,ana,no,0,0,morado1,propiedad,no,no,no,no,no,no,5904,5904,5904,5904,12,12
98,bob,no,0,0,suerte6,suerte,no,no,no,no,no,no,5966,5966,5966,5966,13,13
99,ana,no,0,0,suerte2,suerte,no,no,no,no,no,no,5904,5904,5904,5904,12,12
100,bob,no,0,0,morado1,propiedad,no,si,no,no,no,no,5966,5966,5966,5954,13,13
