turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,alquiler_teorico,pago_real
113,carla,diego,estacion1,estacion,estacion,200,40,40
114,diego,bob,verde2,propiedad,verde,300,60,60
116,fernando,elena,azul2,propiedad,azul,400,80,80
122,bob,gema,rosa3,propiedad,rosa,160,32,32
124,diego,elena,estacion4,estacion,estacion,200,40,40
130,javier,carla,naranja2,propiedad,naranja,180,36,36
131,ana,irene,gris3,propiedad,gris,120,24,24
133,carla,bob,rojo2,propiedad,rojo,220,44,44
136,fernando,gema,rosa1,propiedad,rosa,140,28,28
137,gema,diego,naranja3,propiedad,naranja,200,40,40
139,irene,gema,rosa1,propiedad,rosa,140,28,28
140,javier,hugo,amarillo1,propiedad,amarillo,260,52,52
142,bob,carla,rojo3,propiedad,rojo,240,48,48
144,diego,gema,rosa3,propiedad,rosa,160,32,32
145,elena,diego,estacion1,estacion,estacion,200,40,40
146,fernando,bob,rojo1,propiedad,rojo,220,44,44
148,hugo,bob,rojo2,propiedad,rojo,220,44,44
150,javier,bob,verde2,propiedad,verde,300,60,60
151,ana,hugo,amarillo1,propiedad,amarillo,260,52,52
156,fernando,hugo,amarillo1,propiedad,amarillo,260,52,52
159,irene,elena,amarillo2,propiedad,amarillo,260,52,52
160,javier,elena,estacion4,estacion,estacion,200,40,40
162,bob,elena,azul2,propiedad,azul,400,80,80
163,carla,hugo,naranja1,propiedad,naranja,180,36,36
165,elena,carla,naranja2,propiedad,naranja,180,36,36
166,fernando,elena,estacion4,estacion,estacion,200,40,40
172,bob,diego,estacion1,estacion,estacion,200,40,40
173,carla,bob,rojo1,propiedad,rojo,220,44,44
174,diego,elena,estacion4,estacion,estacion,200,40,40
175,elena,ana,estacion3,estacion,estacion,200,40,40
176,fernando,diego,morado1,propiedad,morado,60,12,12
181,ana,gema,rosa3,propiedad,rosa,160,32,32
182,bob,irene,gris3,propiedad,gris,120,24,24
183,carla,bob,amarillo3,propiedad,amarillo,280,56,56
185,elena,bob,verde2,propiedad,verde,300,60,60
186,fernando,irene,gris1,propiedad,gris,100,20,20
188,hugo,fernando,estacion2,estacion,estacion,200,40,40
191,ana,diego,naranja3,propiedad,naranja,200,40,40
192,bob,fernando,estacion2,estacion,estacion,200,40,40
193,carla,elena,azul2,propiedad,azul,400,80,80
195,elena,diego,morado2,propiedad,morado,60,12,12
196,fernando,irene,gris3,propiedad,gris,120,24,24
198,hugo,bob,rojo2,propiedad,rojo,220,44,44
199,irene,elena,rosa2,propiedad,rosa,140,28,28
200,javier,diego,naranja3,propiedad,naranja,200,40,40
201,ana,carla,rojo3,propiedad,rojo,240,48,48
202,bob,hugo,amarillo1,propiedad,amarillo,260,52,52
203,carla,diego,estacion1,estacion,estacion,200,40,40
205,elena,irene,gris3,propiedad,gris,120,24,24
206,fernando,hugo,naranja1,propiedad,naranja,180,36,36
207,gema,hugo,amarillo1,propiedad,amarillo,260,52,52
208,hugo,ana,estacion3,estacion,estacion,200,40,40
210,javier,hugo,amarillo1,propiedad,amarillo,260,52,52
211,ana,bob,verde2,propiedad,verde,300,60,60
212,bob,carla,verde3,propiedad,verde,320,64,64
213,carla,irene,gris3,propiedad,gris,120,24,24
214,diego,bob,rojo2,propiedad,rojo,220,44,44
215,elena,hugo,naranja1,propiedad,naranja,180,36,36
216,fernando,bob,rojo2,propiedad,rojo,220,44,44
217,gema,elena,verde1,propiedad,verde,300,60,60
219,irene,bob,amarillo3,propiedad,amarillo,280,56,56
220,javier,carla,verde3,propiedad,verde,320,64,64
222,bob,diego,morado1,propiedad,morado,60,12,12
223,carla,fernando,estacion2,estacion,estacion,200,40,40
226,fernando,elena,verde1,propiedad,verde,300,60,60
229,irene,elena,estacion4,estacion,estacion,200,40,40
231,ana,carla,gris2,propiedad,gris,100,20,20
233,carla,bob,rojo2,propiedad,rojo,220,44,44
235,elena,bob,verde2,propiedad,verde,300,60,60
238,hugo,carla,gris2,propiedad,gris,100,20,20
240,javier,irene,gris3,propiedad,gris,120,24,24
241,ana,diego,naranja3,propiedad,naranja,200,40,40
242,bob,fernando,estacion2,estacion,estacion,200,40,40
245,elena,diego,morado1,propiedad,morado,60,12,12
249,irene,gema,rosa1,propiedad,rosa,140,28,28
250,javier,fernando,estacion2,estacion,estacion,200,40,40
256,fernando,elena,rosa2,propiedad,rosa,140,28,28
257,gema,hugo,naranja1,propiedad,naranja,180,36,36
258,hugo,carla,rojo3,propiedad,rojo,240,48,48
259,irene,carla,naranja2,propiedad,naranja,180,36,36
261,ana,elena,estacion4,estacion,estacion,200,40,40
263,carla,hugo,naranja1,propiedad,naranja,180,36,36
264,diego,gema,rosa3,propiedad,rosa,160,32,32
265,elena,carla,rojo3,propiedad,rojo,240,48,48
266,fernando,bob,rojo1,propiedad,rojo,220,44,44
267,gema,bob,rojo1,propiedad,rojo,220,44,44
269,irene,carla,rojo3,propiedad,rojo,240,48,48
271,ana,elena,azul2,propiedad,azul,400,80,80
272,bob,ana,azul1,propiedad,azul,350,70,70
273,carla,elena,amarillo2,propiedad,amarillo,260,52,52
275,elena,bob,amarillo3,propiedad,amarillo,280,56,56
277,gema,bob,rojo2,propiedad,rojo,220,44,44
278,hugo,ana,azul1,propiedad,azul,350,70,70
279,irene,elena,verde1,propiedad,verde,300,60,60
281,ana,diego,estacion1,estacion,estacion,200,40,40
283,carla,elena,estacion4,estacion,estacion,200,40,40
284,diego,carla,rojo3,propiedad,rojo,240,48,48
286,fernando,elena,estacion4,estacion,estacion,200,40,40
287,gema,bob,verde2,propiedad,verde,300,60,60
288,hugo,diego,morado2,propiedad,morado,60,12,12
289,irene,ana,azul1,propiedad,azul,350,70,70
290,javier,bob,rojo1,propiedad,rojo,220,44,44
291,ana,irene,gris3,propiedad,gris,120,24,24
292,bob,elena,rosa2,propiedad,rosa,140,28,28
294,diego,elena,amarillo2,propiedad,amarillo,260,52,52
295,elena,diego,estacion1,estacion,estacion,200,40,40
297,gema,elena,azul2,propiedad,azul,400,80,80
300,javier,elena,amarillo2,propiedad,amarillo,260,52,52
301,ana,carla,naranja2,propiedad,naranja,180,36,36
302,bob,diego,naranja3,propiedad,naranja,200,40,40
307,gema,diego,estacion1,estacion,estacion,200,40,40
308,hugo,diego,naranja3,propiedad,naranja,200,40,40
309,irene,carla,gris2,propiedad,gris,100,20,20
310,javier,elena,estacion4,estacion,estacion,200,40,40
311,ana,elena,amarillo2,propiedad,amarillo,260,52,52
315,elena,carla,naranja2,propiedad,naranja,180,36,36
316,fernando,gema,rosa3,propiedad,rosa,160,32,32
319,irene,fernando,estacion2,estacion,estacion,200,40,40
320,javier,diego,morado2,propiedad,morado,60,12,12
321,ana,elena,estacion4,estacion,estacion,200,40,40
323,carla,ana,estacion3,estacion,estacion,200,40,40
326,fernando,carla,rojo3,propiedad,rojo,240,48,48
328,hugo,bob,verde2,propiedad,verde,300,60,60
329,irene,carla,rojo3,propiedad,rojo,240,48,48
330,javier,irene,gris3,propiedad,gris,120,24,24
332,bob,ana,azul1,propiedad,azul,350,70,70
333,carla,elena,amarillo2,propiedad,amarillo,260,52,52
336,fernando,bob,amarillo3,propiedad,amarillo,280,56,56
337,gema,carla,naranja2,propiedad,naranja,180,36,36
338,hugo,ana,azul1,propiedad,azul,350,70,70
339,irene,elena,verde1,propiedad,verde,300,60,60
341,ana,gema,rosa3,propiedad,rosa,160,32,32
344,diego,hugo,naranja1,propiedad,naranja,180,36,36
347,gema,ana,estacion3,estacion,estacion,200,40,40
348,hugo,diego,estacion1,estacion,estacion,200,40,40
350,javier,bob,rojo1,propiedad,rojo,220,44,44
351,irene,gema,rosa1,propiedad,rosa,140,28,28
353,bob,irene,gris3,propiedad,gris,120,24,24
355,diego,bob,rojo2,propiedad,rojo,220,44,44
357,fernando,diego,estacion1,estacion,estacion,200,40,40
359,hugo,elena,rosa2,propiedad,rosa,140,28,28
361,ana,elena,amarillo2,propiedad,amarillo,260,52,52
362,bob,elena,rosa2,propiedad,rosa,140,28,28
368,hugo,bob,rojo1,propiedad,rojo,220,44,44
369,irene,bob,rojo2,propiedad,rojo,220,44,44
370,ana,bob,amarillo3,propiedad,amarillo,280,56,56
371,bob,carla,naranja2,propiedad,naranja,180,36,36
372,carla,gema,rosa3,propiedad,rosa,160,32,32
375,fernando,bob,rojo1,propiedad,rojo,220,44,44
376,gema,diego,morado2,propiedad,morado,60,12,12
377,hugo,elena,verde1,propiedad,verde,300,60,60
378,irene,elena,verde1,propiedad,verde,300,60,60
379,ana,bob,verde2,propiedad,verde,300,60,60
380,bob,ana,estacion3,estacion,estacion,200,40,40
381,carla,diego,naranja3,propiedad,naranja,200,40,40
382,diego,irene,gris3,propiedad,gris,120,24,24
383,elena,hugo,amarillo1,propiedad,amarillo,260,52,52
385,gema,irene,gris3,propiedad,gris,120,24,24
387,irene,ana,azul1,propiedad,azul,350,70,70
388,ana,carla,verde3,propiedad,verde,320,64,64
389,bob,carla,verde3,propiedad,verde,320,64,64
390,carla,hugo,amarillo1,propiedad,amarillo,260,52,52
392,elena,carla,verde3,propiedad,verde,320,64,64
395,hugo,diego,estacion1,estacion,estacion,200,40,40
398,fernando,carla,naranja2,propiedad,naranja,180,36,36
399,gema,elena,amarillo2,propiedad,amarillo,260,52,52
400,hugo,elena,rosa2,propiedad,rosa,140,28,28
401,ana,elena,azul2,propiedad,azul,400,80,80
402,bob,diego,morado1,propiedad,morado,60,12,12
403,carla,bob,verde2,propiedad,verde,300,60,60
404,diego,elena,amarillo2,propiedad,amarillo,260,52,52
405,elena,diego,morado2,propiedad,morado,60,12,12
406,fernando,hugo,amarillo1,propiedad,amarillo,260,52,52
407,gema,bob,verde2,propiedad,verde,300,60,60
408,hugo,carla,naranja2,propiedad,naranja,180,36,36
409,ana,diego,estacion1,estacion,estacion,200,40,40
411,carla,diego,morado2,propiedad,morado,60,12,12
413,elena,gema,rosa1,propiedad,rosa,140,28,28
414,fernando,bob,amarillo3,propiedad,amarillo,280,56,56
416,hugo,elena,amarillo2,propiedad,amarillo,260,52,52
422,fernando,ana,azul1,propiedad,azul,350,70,70
424,hugo,elena,estacion4,estacion,estacion,200,40,40
425,ana,hugo,naranja1,propiedad,naranja,180,36,36
429,elena,bob,amarillo3,propiedad,amarillo,280,56,56
430,fernando,diego,morado2,propiedad,morado,60,12,12
434,bob,elena,amarillo2,propiedad,amarillo,260,52,52
435,carla,elena,estacion4,estacion,estacion,200,40,40
438,fernando,gema,rosa1,propiedad,rosa,140,28,28
440,gema,ana,estacion3,estacion,estacion,200,40,40
444,carla,elena,azul2,propiedad,azul,400,80,80
445,diego,elena,verde1,propiedad,verde,300,60,60
448,hugo,gema,rosa1,propiedad,rosa,140,28,28
450,bob,diego,morado2,propiedad,morado,60,12,12
451,carla,diego,morado2,propiedad,morado,60,12,12
453,elena,bob,rojo1,propiedad,rojo,220,44,44
457,bob,diego,estacion1,estacion,estacion,200,40,40
460,elena,bob,amarillo3,propiedad,amarillo,280,56,56
466,diego,gema,rosa3,propiedad,rosa,160,32,32
469,hugo,bob,verde2,propiedad,verde,300,60,60
470,ana,bob,rojo1,propiedad,rojo,220,44,44
471,bob,elena,rosa2,propiedad,rosa,140,28,28
474,elena,diego,morado1,propiedad,morado,60,12,12
476,hugo,elena,azul2,propiedad,azul,400,80,80
479,carla,elena,amarillo2,propiedad,amarillo,260,52,52
480,diego,ana,estacion3,estacion,estacion,200,40,40
482,gema,hugo,amarillo1,propiedad,amarillo,260,52,52
484,ana,elena,verde1,propiedad,verde,300,60,60
486,carla,bob,verde2,propiedad,verde,300,60,60
487,diego,elena,verde1,propiedad,verde,300,60,60
488,elena,diego,naranja3,propiedad,naranja,200,40,40
489,gema,carla,verde3,propiedad,verde,320,64,64
492,bob,elena,verde1,propiedad,verde,300,60,60
493,carla,diego,morado2,propiedad,morado,60,12,12
495,elena,carla,rojo3,propiedad,rojo,240,48,48
496,gema,diego,morado1,propiedad,morado,60,12,12
