turno,indice_jugador,jugador,estado_carcel_antes,decision_carcel,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_tras_carcel,dinero_final_turno,propiedades_antes,propiedades_despues,turno_perdido_carcel
18,2,bob,libre,no_aplica,5,6,11,3,14,no,rosa2,propiedad,140,rosa,no,no,0,0,8612,8612,8612,7,7,no
19,1,ana,libre,no_aplica,4,2,6,22,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,9248,9248,9196,4,4,no
20,2,bob,libre,no_aplica,3,6,9,14,23,no,suerte4,suerte,0,ninguno,no,no,0,0,8664,8664,8664,7,7,no
21,1,ana,libre,no_aplica,2,4,6,28,34,no,suerte5,suerte,0,ninguno,no,no,0,0,9196,9196,9196,4,4,no
22,2,bob,libre,no_aplica,6,1,7,23,30,no,amarillo3,propiedad,280,amarillo,si,no,0,0,8664,8664,8384,7,8,no
23,1,ana,libre,no_aplica,5,1,6,34,40,no,azul2,propiedad,400,azul,si,no,0,0,9196,9196,8796,4,5,no
24,2,bob,libre,no_aplica,1,1,2,30,32,no,verde1,propiedad,300,verde,si,no,0,0,8384,8384,8084,8,9,no
25,1,ana,libre,no_aplica,4,5,9,40,9,si,gris2,propiedad,100,gris,si,no,0,0,8796,8796,8696,5,6,no
26,2,bob,libre,no_aplica,2,5,7,32,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,8084,8084,8084,9,9,no
27,1,ana,libre,no_aplica,3,5,8,9,17,no,naranja1,propiedad,180,naranja,no,no,0,0,8696,8696,8696,6,6,no
28,2,bob,libre,no_aplica,2,6,8,39,7,si,gris1,propiedad,100,gris,si,no,0,0,8084,8084,7984,9,10,no
29,1,ana,libre,no_aplica,2,2,4,17,21,no,parking,parking,0,ninguno,no,no,0,0,8696,8696,8696,6,6,no
30,2,bob,libre,no_aplica,5,6,11,7,18,no,suerte3,suerte,0,ninguno,no,no,0,0,7984,7984,7984,10,10,no
31,1,ana,libre,no_aplica,3,4,7,21,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,8696,8696,8644,6,6,no
32,2,bob,libre,no_aplica,6,1,7,18,25,no,rojo3,propiedad,240,rojo,no,no,0,0,8036,8036,8036,10,10,no
33,1,ana,libre,no_aplica,2,3,5,28,33,no,verde2,propiedad,300,verde,no,no,0,0,8644,8644,8644,6,6,no
34,2,bob,libre,no_aplica,6,2,8,25,33,no,verde2,propiedad,300,verde,no,si,60,60,8036,8036,7976,10,10,no
35,1,ana,libre,no_aplica,2,5,7,33,40,no,azul2,propiedad,400,azul,no,no,0,0,8704,8704,8704,6,6,no
36,2,bob,libre,no_aplica,3,5,8,33,1,si,salida,salida,0,ninguno,no,no,0,0,7976,7976,7976,10,10,no
37,1,ana,libre,no_aplica,4,1,5,40,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,8704,8704,8704,6,6,no
38,2,bob,libre,no_aplica,2,5,7,1,8,no,suerte2,suerte,0,ninguno,no,no,0,0,7976,7976,7976,10,10,no
39,1,ana,libre,no_aplica,1,5,6,5,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,8704,8704,8704,6,6,no
40,2,bob,libre,no_aplica,4,6,10,8,18,no,suerte3,suerte,0,ninguno,no,no,0,0,7976,7976,7976,10,10,no
41,1,ana,libre,no_aplica,3,1,4,11,15,no,rosa3,propiedad,160,rosa,si,no,0,0,8704,8704,8544,6,7,no
42,2,bob,libre,no_aplica,3,5,8,18,26,no,estacion3,estacion,200,estacion,si,no,0,0,7976,7976,7776,10,11,no
43,1,ana,libre,no_aplica,1,4,5,15,20,no,naranja3,propiedad,200,naranja,si,no,0,0,8544,8544,8344,7,8,no
44,2,bob,libre,no_aplica,3,2,5,26,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7776,7776,7776,11,11,no
45,1,ana,libre,no_aplica,2,4,6,20,26,no,estacion3,estacion,200,estacion,no,si,40,40,8344,8344,8304,8,8,no
46,2,bob,encarcelado(0),tirar,0,0,0,11,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7816,7816,7816,11,11,si
47,1,ana,libre,no_aplica,5,6,11,26,37,no,suerte6,suerte,0,ninguno,no,no,0,0,8304,8304,8304,8,8,no
48,2,bob,libre,no_aplica,2,4,6,11,17,no,naranja1,propiedad,180,naranja,no,si,36,36,7816,7816,7780,11,11,no
49,1,ana,libre,no_aplica,6,2,8,37,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,8340,8340,8340,8,8,no
50,2,bob,libre,no_aplica,2,1,3,17,20,no,naranja3,propiedad,200,naranja,no,si,40,40,7780,7780,7740,11,11,no
51,1,ana,libre,no_aplica,6,6,12,5,17,no,naranja1,propiedad,180,naranja,no,no,0,0,8380,8380,8380,8,8,no
52,2,bob,libre,no_aplica,5,4,9,20,29,no,impuesto3,impuesto,100,ninguno,no,no,0,0,7740,7740,7740,11,11,no
53,1,ana,libre,no_aplica,1,1,2,17,19,no,naranja2,propiedad,180,naranja,si,no,0,0,8380,8380,8200,8,9,no
